scenario,situation,constraint,option,quality,rationale,consequence,next_signal
"Scrum adoption is high, outcomes are not","Teams attend Scrum ceremonies consistently, but release predictability remains poor. Velocity is increasing, stakeholders bypass Product Owners, and teams wait for management decisions.",Decision flow,Increase Scrum ceremony compliance,Weak,Ceremony attendance is already high. Increasing compliance adds activity without addressing the decision bottleneck or bypass behaviour.,Teams may spend more time reporting while the underlying decision latency and ownership problem remains.,Decision latency
"Scrum adoption is high, outcomes are not","Teams attend Scrum ceremonies consistently, but release predictability remains poor. Velocity is increasing, stakeholders bypass Product Owners, and teams wait for management decisions.",Decision flow,Introduce velocity targets for each team,Weak,A velocity target converts a planning signal into a performance pressure. It can distort estimation and encourage local optimisation instead of improving the system constraint.,"Velocity may rise while predictability, quality or team autonomy deteriorate.",Goal achievement + quality
"Scrum adoption is high, outcomes are not","Teams attend Scrum ceremonies consistently, but release predictability remains poor. Velocity is increasing, stakeholders bypass Product Owners, and teams wait for management decisions.",Decision flow,Clarify decision ownership and reduce bypass routes,Strong,The evidence points to unclear decision paths and stakeholder bypass behaviour. Clarifying Product Owner accountability and leadership decision boundaries directly targets the constraint.,"Requests become more visible, decisions move through the right accountabilities, and teams can operate with less interruption.",Decision latency + interruption trend
"Scrum adoption is high, outcomes are not","Teams attend Scrum ceremonies consistently, but release predictability remains poor. Velocity is increasing, stakeholders bypass Product Owners, and teams wait for management decisions.",Decision flow,Add a daily executive status meeting,Mixed,"A concise leadership touchpoint can help if it is used for decisions, but adding another reporting forum does not by itself solve unclear ownership.",Leaders may get more status while teams still wait for decisions unless the forum has explicit decision rights.,Decision latency
A dependency keeps blocking release,"A cross-team dependency has slipped twice. The affected team is asking for escalation, but the dependency owner says the work is still on track. The release date is becoming uncertain.",Dependency ownership,Ask the affected team to work around it quietly,Weak,A hidden workaround can mask the systemic dependency and move risk into quality or scope. The release impact should remain visible.,The dependency may reappear later with less time to respond and weaker transparency.,Dependency aging + release readiness
A dependency keeps blocking release,"A cross-team dependency has slipped twice. The affected team is asking for escalation, but the dependency owner says the work is still on track. The release date is becoming uncertain.",Dependency ownership,Escalate immediately to senior leadership without clarifying ownership,Mixed,"Escalation may be necessary, but skipping impact, ownership and a concrete next action can turn escalation into noise rather than a decision mechanism.","Leadership attention increases, but the underlying ownership and next-action ambiguity may remain.",Named owner + committed next action
A dependency keeps blocking release,"A cross-team dependency has slipped twice. The affected team is asking for escalation, but the dependency owner says the work is still on track. The release date is becoming uncertain.",Dependency ownership,"Make the impact explicit, confirm ownership and agree a dated next action before escalating",Strong,"This preserves transparency, gives the dependency owner a clear path to respond, and creates a fact-based escalation point if the constraint remains unresolved.",The conversation moves from opinion about whether work is 'on track' to an observable commitment and release impact.,Dependency aging + release readiness
A dependency keeps blocking release,"A cross-team dependency has slipped twice. The affected team is asking for escalation, but the dependency owner says the work is still on track. The release date is becoming uncertain.",Dependency ownership,Create a new cross-team ceremony every morning,Mixed,"Coordination can help, but a new ceremony is only useful if it improves ownership and decisions. The immediate evidence is an unresolved dependency, not a lack of meetings.",Coordination overhead may increase without improving the dependency outcome.,Dependency aging
Leadership is using velocity as a performance target,"A leadership dashboard ranks teams by velocity. Teams are discussing ways to increase points, while Sprint Goal achievement and quality are becoming less visible.",Metric misuse,Publish a higher velocity target,Weak,Increasing the target reinforces the behaviour that is already distorting the metric. Velocity is not a reliable cross-team performance target.,Teams may inflate estimates or optimise for points rather than outcomes and quality.,Goal achievement + quality
Leadership is using velocity as a performance target,"A leadership dashboard ranks teams by velocity. Teams are discussing ways to increase points, while Sprint Goal achievement and quality are becoming less visible.",Metric misuse,Remove all delivery metrics from leadership conversations,Mixed,"Removing a distorted metric can be useful, but leadership still needs evidence for delivery decisions. Replace misuse with a balanced set of outcome, flow, quality and risk signals.","The immediate pressure may reduce, but decision quality can suffer if evidence is removed rather than improved.",Balanced outcome + flow + quality signals
Leadership is using velocity as a performance target,"A leadership dashboard ranks teams by velocity. Teams are discussing ways to increase points, while Sprint Goal achievement and quality are becoming less visible.",Metric misuse,"Reframe velocity as a planning signal and restore outcome, flow and quality context",Strong,The problem is not that metrics exist. It is that one planning signal has become a performance target. Reframing the measure and restoring context supports better decisions without creating metric avoidance.,"Leadership discussions can shift from 'who has the highest velocity?' to predictability, outcomes, quality and systemic constraints.",Goal achievement + cycle time + defects
Leadership is using velocity as a performance target,"A leadership dashboard ranks teams by velocity. Teams are discussing ways to increase points, while Sprint Goal achievement and quality are becoming less visible.",Metric misuse,Ask Scrum Masters to explain every velocity change to leadership weekly,Mixed,"More explanation can improve understanding, but it still centres the conversation on velocity. The operating model should change how leadership uses evidence, not simply add reporting work.",Scrum Masters may become reporting intermediaries while the performance-target behaviour remains.,Metric usage + outcome signals
